epoch,dice_coef,iou_coef,loss,lr,val_dice_coef,val_iou_coef,val_loss
0,0.5856047868728638,0.2568897008895874,0.18207947909832,0.0005,0.35804399847984314,0.3913392424583435,0.2680415213108063
1,0.7807407975196838,0.4979614019393921,0.09525606036186218,0.0005,0.39170703291893005,0.5775032043457031,0.2543274164199829
2,0.8076794743537903,0.585713267326355,0.08356790989637375,0.0005,0.38159656524658203,0.4365960657596588,0.25674736499786377
3,0.8234020471572876,0.6371212005615234,0.07678789645433426,0.0005,0.3851260840892792,0.5579540729522705,0.25628677010536194
4,0.8373677134513855,0.6689639091491699,0.0706418976187706,0.0005,0.3847334384918213,0.46682143211364746,0.2558954656124115
5,0.8477492332458496,0.7116677761077881,0.06609245389699936,0.0005,0.3196614682674408,0.41261130571365356,0.285918265581131
6,0.8550170660018921,0.7134612798690796,0.06295675784349442,0.0005,0.4073219895362854,0.5714674592018127,0.24751520156860352
7,0.8617995381355286,0.7538336515426636,0.05993357300758362,0.0005,0.4817315340042114,0.7019534707069397,0.21839922666549683
8,0.8660425543785095,0.7668658494949341,0.05805765092372894,0.0005,0.5707817077636719,0.7583947777748108,0.1823771446943283
9,0.869408130645752,0.7803458571434021,0.056563761085271835,0.0005,0.494319885969162,0.7103381752967834,0.21259713172912598
10,0.8742941617965698,0.7904369235038757,0.05446750670671463,0.0005,0.4891605079174042,0.7086589336395264,0.21465814113616943
11,0.8772653937339783,0.7980741262435913,0.05319778248667717,0.0005,0.4924435317516327,0.6748372912406921,0.21500171720981598
12,0.880502462387085,0.8096180558204651,0.05174930393695831,0.0005,0.45856353640556335,0.6521326899528503,0.22755058109760284
13,0.8856101036071777,0.8125698566436768,0.049537692219018936,0.0005,0.522084653377533,0.7331854701042175,0.2017078548669815
14,0.8976312875747681,0.8613564968109131,0.044234439730644226,5.0000002e-05,0.5996654033660889,0.7697054147720337,0.17082956433296204
15,0.9019192457199097,0.8652892112731934,0.04239213094115257,5.0000002e-05,0.5753564834594727,0.7588914036750793,0.18053694069385529
16,0.9035348296165466,0.889086902141571,0.04169637709856033,5.0000002e-05,0.6388226747512817,0.7820496559143066,0.1556302309036255
17,0.905769944190979,0.8863890767097473,0.040701527148485184,5.0000002e-05,0.6222484707832336,0.7782638072967529,0.16204114258289337
18,0.9071828126907349,0.8841001987457275,0.040088456124067307,5.0000002e-05,0.6193792223930359,0.7747333645820618,0.16308143734931946
19,0.9088923335075378,0.8871746063232422,0.039345841854810715,5.0000002e-05,0.614634096622467,0.773625373840332,0.1653953641653061
20,0.9101221561431885,0.8881513476371765,0.03881215304136276,5.0000002e-05,0.6343098282814026,0.7815983891487122,0.15781348943710327
21,0.9109054207801819,0.8906404376029968,0.03847930207848549,5.0000002e-05,0.6351037621498108,0.7819018959999084,0.15720386803150177
22,0.9128268361091614,0.8950942754745483,0.03763843700289726,5.0000003e-06,0.6352612972259521,0.7823533415794373,0.1571720987558365
23,0.91263347864151,0.8947339057922363,0.03770741447806358,5.0000003e-06,0.6412387490272522,0.7842848300933838,0.1548909842967987
24,0.9128047823905945,0.8977656364440918,0.03765324130654335,5.0000003e-06,0.6554440259933472,0.7892619967460632,0.149226114153862
25,0.9130001664161682,0.9023491144180298,0.03756558895111084,5.0000003e-06,0.6634813547134399,0.7916313409805298,0.14611801505088806
26,0.9131191968917847,0.9025275111198425,0.03750758618116379,5.0000003e-06,0.6678175926208496,0.7931846976280212,0.144401416182518
27,0.913051962852478,0.9041270017623901,0.03754914179444313,5.0000003e-06,0.6627646684646606,0.7917702794075012,0.1464225947856903
28,0.9135213494300842,0.9030689001083374,0.03733726218342781,5.0000003e-06,0.6570866703987122,0.7899857759475708,0.14875680208206177
29,0.913517951965332,0.9015912413597107,0.037332627922296524,5.0000003e-06,0.6514079570770264,0.7883990406990051,0.1510341465473175
