,loss,dice_coef,iou_coef,val_loss,val_dice_coef,val_iou_coef,lr
4,0.06676288694143295,0.8463628888130188,0.6853694319725037,0.22364768385887146,0.46575695276260376,0.6925304532051086,0.0005
5,0.06427739560604095,0.8520447015762329,0.6984084248542786,0.21220915019512177,0.4941394329071045,0.7216483354568481,0.0005
6,0.061935242265462875,0.8574729561805725,0.7125256061553955,0.26409539580345154,0.3675839900970459,0.4649879038333893,0.0005
7,0.05962822213768959,0.8626244068145752,0.7477529048919678,0.23628762364387512,0.43366873264312744,0.6392846703529358,0.0005
8,0.05619817599654198,0.8704416155815125,0.7658552527427673,0.23590047657489777,0.43815118074417114,0.6602136492729187,0.0005
9,0.05484725907444954,0.8735949993133545,0.7588170170783997,0.23556029796600342,0.4379548728466034,0.6479928493499756,0.0005
10,0.05273587256669998,0.8784350156784058,0.771943986415863,0.20746870338916779,0.5065270066261292,0.7256466150283813,0.0005
11,0.051659658551216125,0.8808218240737915,0.7856661081314087,0.2119528353214264,0.49646618962287903,0.73378986120224,0.0005
12,0.050152555108070374,0.8842871189117432,0.8016068935394287,0.2613155245780945,0.3777806758880615,0.569358766078949,0.0005
13,0.04951544851064682,0.8857598304748535,0.7967714667320251,0.23557919263839722,0.43570220470428467,0.6349098086357117,0.0005
14,0.04866556078195572,0.8876522183418274,0.8124854564666748,0.20162758231163025,0.5244561433792114,0.7302370071411133,0.0005
15,0.04821201041340828,0.8886749148368835,0.8143705129623413,0.20123881101608276,0.5225810408592224,0.7434095144271851,0.0005
16,0.046508099883794785,0.892646849155426,0.8116930723190308,0.22831770777702332,0.454839289188385,0.685651421546936,0.0005
17,0.04633002355694771,0.8930058479309082,0.8275443315505981,0.18378615379333496,0.5662664771080017,0.7703025937080383,0.0005
18,0.04484031721949577,0.8964332938194275,0.8344149589538574,0.17359842360019684,0.5919737219810486,0.7772207856178284,0.0005
19,0.04426158219575882,0.8977844715118408,0.8369223475456238,0.19559942185878754,0.5383816957473755,0.7562153935432434,0.0005
20,0.04433950036764145,0.897551417350769,0.8402726650238037,0.18076637387275696,0.5739944577217102,0.7694487571716309,0.0005
