,Encoder,Größe,Beste Epoche,Loss,Val. loss,Dice,Val. Dice,IoU,Val. IoU,2.5D,Crop,Bereinigt,Batch Size,Epochen
0,efficientnetb2,256,36,0.0306953359395265,0.0896210819482803,0.9291496872901917,0.8022045493125916,0.9254994988441468,0.8372148871421814,True,True,True,16,50
4,efficientnetb2,256,38,0.0327455289661884,0.0974348112940788,0.9246516227722168,0.7872154712677002,0.9293417930603028,0.8232154846191406,False,True,False,16,50
1,efficientnetb2,256,15,0.0404961556196212,0.0999238565564155,0.9060273170471193,0.7775557041168213,0.8797470927238464,0.8341163396835327,True,False,True,16,50
7,efficientnetb2,256,22,0.0376725606620311,0.1040974929928779,0.9129217863082886,0.7681317329406738,0.9175031781196594,0.8221343159675598,False,False,False,16,50
2,efficientnetb2,256,42,0.0309783872216939,0.1048374846577644,0.9285887479782104,0.7659451961517334,0.931438148021698,0.826475203037262,True,True,False,16,50
5,efficientnetb2,256,31,0.0348562523722648,0.1078869625926017,0.9193117022514344,0.7576389312744141,0.9218395352363586,0.8233484625816345,True,False,False,16,50
3,efficientnetb2,256,16,0.0410719066858291,0.1132150217890739,0.9048917889595032,0.7420011758804321,0.9017407298088074,0.8258810043334961,False,False,True,16,50
6,efficientnetb2,256,33,0.0373242199420928,0.1310266852378845,0.9138416051864624,0.6965960264205933,0.9001606702804565,0.812691330909729,False,True,True,16,50
