epoch,dice_coef,dice_coef_large_bowel,dice_coef_small_bowel,dice_coef_stomach,iou_coef,loss,lr,val_dice_coef,val_dice_coef_large_bowel,val_dice_coef_small_bowel,val_dice_coef_stomach,val_iou_coef,val_loss
0,0.6232936978340149,0.658667802810669,0.5455121994018555,0.6382430195808411,0.27630558609962463,0.17162811756134033,0.0005,0.37011995911598206,0.3872406482696533,0.24528467655181885,0.2633838355541229,0.3970502018928528,0.2615388333797455
1,0.7949361801147461,0.810016393661499,0.7150057554244995,0.8425037860870361,0.4954439103603363,0.08970910310745239,0.0005,0.4328102469444275,0.49986541271209717,0.34907230734825134,0.463247150182724,0.6322963833808899,0.2356441468000412
2,0.8185609579086304,0.8297862410545349,0.7499293684959412,0.862104594707489,0.5978164672851562,0.07930119335651398,0.0005,0.41605305671691895,0.5107848644256592,0.3622313141822815,0.397806853055954,0.6196438670158386,0.24312932789325714
3,0.8315603137016296,0.8424664735794067,0.7690528631210327,0.8724251389503479,0.6587017774581909,0.07352983951568604,0.0005,0.5049411654472351,0.6381983160972595,0.4530155658721924,0.553735613822937,0.7229987978935242,0.20657925307750702
4,0.8461357355117798,0.855390191078186,0.789921224117279,0.8797256350517273,0.7050453424453735,0.06707409024238586,0.0005,0.5109180808067322,0.612682580947876,0.44101667404174805,0.6991478800773621,0.7303079962730408,0.20485147833824158
5,0.8546528816223145,0.862423300743103,0.7998977303504944,0.8849399089813232,0.7307461500167847,0.06338031589984894,0.0005,0.4299851655960083,0.4318532347679138,0.3657470643520355,0.5092067718505859,0.5842123031616211,0.23652383685112
6,0.8614634275436401,0.8686028718948364,0.8124240040779114,0.8889060616493225,0.7440010905265808,0.06039833277463913,0.0005,0.42931902408599854,0.5193266868591309,0.29545095562934875,0.6184101700782776,0.5939480662345886,0.23797230422496796
7,0.8642812967300415,0.8725452423095703,0.8129053115844727,0.8888992071151733,0.7526918649673462,0.05914977192878723,0.0005,0.4968087375164032,0.6363072395324707,0.42967841029167175,0.6188563108444214,0.7248281836509705,0.21053846180438995
8,0.8719253540039062,0.8797231316566467,0.8278360962867737,0.8929780721664429,0.7846637964248657,0.05573013424873352,0.0005,0.5636637210845947,0.6871427893638611,0.5494330525398254,0.621422529220581,0.7612131237983704,0.18344825506210327
9,0.8754809498786926,0.8831891417503357,0.8330296277999878,0.8984118103981018,0.7834071516990662,0.05420756712555885,0.0005,0.43369513750076294,0.4744007885456085,0.3455626368522644,0.6434988975524902,0.625868558883667,0.23526500165462494
10,0.8780180811882019,0.8856462240219116,0.8378103971481323,0.9005751609802246,0.7870143055915833,0.05309795215725899,0.0005,0.5096895098686218,0.5886335372924805,0.44590774178504944,0.6388871073722839,0.7201372385025024,0.20445269346237183
11,0.8800908923149109,0.8865540623664856,0.8392497301101685,0.9040485620498657,0.7959588766098022,0.052161429077386856,0.0005,0.525627076625824,0.6714041233062744,0.4380507171154022,0.7114135026931763,0.7437570095062256,0.19854402542114258
12,0.8810954689979553,0.889234185218811,0.8416603803634644,0.8985522985458374,0.8024423718452454,0.05171492323279381,0.0005,0.5668221712112427,0.7054804563522339,0.5154308080673218,0.6608285307884216,0.7657519578933716,0.18185703456401825
13,0.8872014880180359,0.8944559097290039,0.8494351506233215,0.908485472202301,0.8240730166435242,0.0490272082388401,0.0005,0.44865283370018005,0.7644148468971252,0.3458142876625061,0.6365447044372559,0.6669313311576843,0.23327197134494781
14,0.8884130716323853,0.8943628668785095,0.8539419770240784,0.908149003982544,0.8519010543823242,0.04862258583307266,0.0005,0.6008690595626831,0.7201250195503235,0.5930157899856567,0.6772717833518982,0.7704824209213257,0.17143015563488007
15,0.8897818326950073,0.8964924812316895,0.8556225895881653,0.9075578451156616,0.8254921436309814,0.04791590943932533,0.0005,0.54710453748703,0.645041823387146,0.5299881100654602,0.6120162606239319,0.7550796866416931,0.1900813728570938
16,0.8921974897384644,0.8975821733474731,0.8591493964195251,0.9108855128288269,0.8369866013526917,0.04685435816645622,0.0005,0.5849263668060303,0.6606752276420593,0.5994861125946045,0.6628483533859253,0.7734771370887756,0.17556370794773102
17,0.8939160108566284,0.8993934988975525,0.8608236312866211,0.9108471870422363,0.8378447890281677,0.04608898237347603,0.0005,0.61001056432724,0.7060901522636414,0.573529064655304,0.7429773807525635,0.7801662087440491,0.16529034078121185
18,0.8977454304695129,0.9030944108963013,0.8658643960952759,0.9183197617530823,0.8542078137397766,0.044427234679460526,0.0005,0.6736832857131958,0.7396377921104431,0.6285495162010193,0.767736554145813,0.7937220335006714,0.14055265486240387
19,0.8995988965034485,0.9047791957855225,0.868309736251831,0.915763258934021,0.8525699377059937,0.043609220534563065,0.0005,0.6377735733985901,0.6988692283630371,0.6125088334083557,0.7399356365203857,0.7831001281738281,0.15412259101867676
20,0.8986567854881287,0.9043623805046082,0.8655238151550293,0.9122582077980042,0.8486964106559753,0.04403464123606682,0.0005,0.568078875541687,0.6906559467315674,0.4977242946624756,0.6956096291542053,0.7600162625312805,0.18168427050113678
21,0.9009429216384888,0.9066230654716492,0.8688655495643616,0.9195851683616638,0.8575884103775024,0.043025169521570206,0.0005,0.5681540966033936,0.7334785461425781,0.5080597400665283,0.7594667673110962,0.7771868109703064,0.18343211710453033
22,0.9041157960891724,0.9086149334907532,0.8735889196395874,0.9190857410430908,0.8540841341018677,0.041646961122751236,0.0005,0.6741312742233276,0.7464933395385742,0.6631125211715698,0.7613544464111328,0.8060892224311829,0.14028504490852356
23,0.9040247201919556,0.909269392490387,0.8756870031356812,0.9215351343154907,0.8799999356269836,0.041829101741313934,0.0005,0.5359583497047424,0.678938627243042,0.502001941204071,0.6994982957839966,0.7565307021141052,0.19793766736984253
24,0.9052449464797974,0.9093570709228516,0.8774317502975464,0.921415388584137,0.8745076656341553,0.04110986739397049,0.0005,0.6729229688644409,0.7695456147193909,0.6819816827774048,0.7589539289474487,0.8154752254486084,0.14081580936908722
25,0.9064005017280579,0.9109593033790588,0.8774668574333191,0.9241660237312317,0.8680760264396667,0.040608879178762436,0.0005,0.6262159943580627,0.7114568948745728,0.6017177700996399,0.7558287978172302,0.7810123562812805,0.15914921462535858
26,0.908112645149231,0.9123735427856445,0.8802832365036011,0.9242262244224548,0.8666903376579285,0.039887934923172,0.0005,0.6566891670227051,0.7450318932533264,0.6507705450057983,0.7514730095863342,0.7956297397613525,0.14723578095436096
27,0.9086549282073975,0.9129418134689331,0.8788823485374451,0.9220914244651794,0.8637568950653076,0.03968339413404465,0.0005,0.5817568302154541,0.700478196144104,0.5412284731864929,0.7257209420204163,0.7721543312072754,0.17668814957141876
