,loss,dice_coef,iou_coef,val_loss,val_dice_coef,val_iou_coef,lr
0,0.2289208024740219,0.5919778347015381,0.3784796893596649,0.34808000922203064,0.34658610820770264,0.433332234621048,0.001
1,0.12901590764522552,0.7664219737052917,0.666802704334259,0.3287869989871979,0.38911551237106323,0.6092836260795593,0.001
2,0.11204109340906143,0.7973167896270752,0.7271977066993713,0.28023165464401245,0.48250406980514526,0.6940832734107971,0.001
3,0.10091737657785416,0.8174647688865662,0.7587291598320007,0.31714141368865967,0.40776509046554565,0.6024246215820312,0.001
4,0.09320634603500366,0.8314443230628967,0.7789584398269653,0.24288107454776764,0.5608867406845093,0.7337832450866699,0.001
5,0.08805576711893082,0.8406076431274414,0.7939578294754028,0.22774043679237366,0.586495578289032,0.7404005527496338,0.001
6,0.08291873335838318,0.849882960319519,0.8128551840782166,0.2328646332025528,0.5778743624687195,0.7308993935585022,0.001
7,0.08045443892478943,0.8545821309089661,0.8390637040138245,0.2314997762441635,0.5845427513122559,0.7337881922721863,0.001
8,0.07691512256860733,0.8607324361801147,0.830108106136322,0.23436211049556732,0.5756164789199829,0.7386072874069214,0.001
9,0.07506287097930908,0.863960862159729,0.8377256989479065,0.24456508457660675,0.5558570027351379,0.7285335063934326,0.001
10,0.07444865256547928,0.865077793598175,0.8372076153755188,0.2506347596645355,0.5446723103523254,0.7184117436408997,0.001
