epoch,dice_coef,dice_coef_large_bowel,dice_coef_small_bowel,dice_coef_stomach,iou_coef,loss,lr,val_dice_coef,val_dice_coef_large_bowel,val_dice_coef_small_bowel,val_dice_coef_stomach,val_iou_coef,val_loss
0,0.5747305154800415,0.6736928224563599,0.6111472249031067,0.606575071811676,0.25628986954689026,0.18652597069740295,0.0005,0.383736252784729,0.3650587499141693,0.22252260148525238,0.24940428137779236,0.4271776080131531,0.256264865398407
1,0.7863523364067078,0.831794798374176,0.748528778553009,0.8549606800079346,0.4905044138431549,0.09295456111431122,0.0005,0.4074017405509949,0.36021819710731506,0.23793499171733856,0.26039591431617737,0.5542179942131042,0.24636860191822052
2,0.8138875961303711,0.8549199104309082,0.7825218439102173,0.8770092725753784,0.5660828948020935,0.08093170821666718,0.0005,0.4144134819507599,0.3611091077327728,0.23569105565547943,0.2602320909500122,0.5947308540344238,0.24360840022563934
3,0.8325577974319458,0.8718723654747009,0.8054800033569336,0.8849113583564758,0.6406668424606323,0.07266053557395935,0.0005,0.42226648330688477,0.36306241154670715,0.24339435994625092,0.27071258425712585,0.5885707139968872,0.24032622575759888
4,0.8423433303833008,0.8783833384513855,0.8206948041915894,0.8873624801635742,0.6609319448471069,0.0684124305844307,0.0005,0.43298864364624023,0.3739713132381439,0.254334032535553,0.27154740691185,0.5952430367469788,0.23534691333770752
5,0.8533826470375061,0.890320360660553,0.8330433368682861,0.9025565385818481,0.7088433504104614,0.06354140490293503,0.0005,0.3863269090652466,0.35152366757392883,0.2313469648361206,0.26258349418640137,0.4550078213214874,0.25458258390426636
6,0.8601610064506531,0.8973426818847656,0.8425529599189758,0.9033512473106384,0.7269923686981201,0.0605739988386631,0.0005,0.44665610790252686,0.3610228896141052,0.23774631321430206,0.26165494322776794,0.6548713445663452,0.23065459728240967
7,0.8647300004959106,0.9008396863937378,0.8516027927398682,0.905063271522522,0.7417495250701904,0.05857838690280914,0.0005,0.4565359354019165,0.35517647862434387,0.24155022203922272,0.262649804353714,0.6462737321853638,0.22672498226165771
8,0.8692914843559265,0.9031907916069031,0.8566412329673767,0.9064286947250366,0.7579426169395447,0.056550998240709305,0.0005,0.5585636496543884,0.36371177434921265,0.24558089673519135,0.27576056122779846,0.7629168629646301,0.18604622781276703
9,0.8737536668777466,0.906996488571167,0.8605366349220276,0.9112342000007629,0.7668968439102173,0.05465199425816536,0.0005,0.46886926889419556,0.3472466766834259,0.2371606081724167,0.2743227481842041,0.7033188939094543,0.22255493700504303
10,0.8780754208564758,0.9111966490745544,0.8714863061904907,0.915530800819397,0.7769237756729126,0.05276388302445412,0.0005,0.4977865517139435,0.36048054695129395,0.2428625226020813,0.26776960492134094,0.7256574630737305,0.21030540764331818
11,0.8823443651199341,0.9158172011375427,0.8749276995658875,0.9164662957191467,0.7897166609764099,0.050905950367450714,0.0005,0.4567422568798065,0.35708722472190857,0.2290796935558319,0.27041909098625183,0.6593910455703735,0.2273089438676834
12,0.8849980235099792,0.91642165184021,0.877080500125885,0.9184494018554688,0.8043361902236938,0.04970145970582962,0.0005,0.4315812289714813,0.3505871593952179,0.23455305397510529,0.2607056498527527,0.6287388205528259,0.23733317852020264
13,0.8856422305107117,0.9167261719703674,0.8783983588218689,0.91597580909729,0.8044256567955017,0.049470894038677216,0.0005,0.5441555976867676,0.34416747093200684,0.23004387319087982,0.2718219459056854,0.7605719566345215,0.19344866275787354
