epoch,dice_coef,dice_coef_large_bowel,dice_coef_small_bowel,dice_coef_stomach,iou_coef,loss,lr,val_dice_coef,val_dice_coef_large_bowel,val_dice_coef_small_bowel,val_dice_coef_stomach,val_iou_coef,val_loss
0,0.5919392704963684,0.7165858745574951,0.6338021159172058,0.477722704410553,0.24797625839710236,0.18191108107566833,0.0005,0.33701953291893005,0.3468762934207916,0.20875246822834015,0.23695498704910278,0.26196303963661194,0.2768513858318329
1,0.7971611618995667,0.8458472490310669,0.7643839716911316,0.8554620742797852,0.5077706575393677,0.08801570534706116,0.0005,0.3691936135292053,0.34391292929649353,0.2372937798500061,0.26210159063339233,0.3544881343841553,0.2621927559375763
2,0.8199366927146912,0.8637181520462036,0.7901849150657654,0.8748864531517029,0.6034119129180908,0.0781608298420906,0.0005,0.4238918423652649,0.36670100688934326,0.25720009207725525,0.26520204544067383,0.5873169898986816,0.23957327008247375
3,0.837204098701477,0.8790839910507202,0.8136221766471863,0.8908421993255615,0.6713274717330933,0.07054568082094193,0.0005,0.4219607710838318,0.36333033442497253,0.24615611135959625,0.27372798323631287,0.5787585377693176,0.24084265530109406
4,0.8512668013572693,0.8898255228996277,0.8323684930801392,0.8994585275650024,0.7090440392494202,0.0644337460398674,0.0005,0.49307385087013245,0.3632979094982147,0.25039196014404297,0.2761532962322235,0.7240281701087952,0.21223720908164978
5,0.8582606911659241,0.8954634070396423,0.8403218984603882,0.9040473699569702,0.7394706606864929,0.061408694833517075,0.0005,0.5535138845443726,0.3689500391483307,0.25486475229263306,0.26559606194496155,0.7562809586524963,0.1878741830587387
6,0.8641103506088257,0.9016134738922119,0.8471444249153137,0.9062236547470093,0.7505879402160645,0.058822035789489746,0.0005,0.4264262616634369,0.3683150112628937,0.2538785934448242,0.265534371137619,0.579224169254303,0.2384929358959198
7,0.8725970387458801,0.9077954888343811,0.862248420715332,0.9136438369750977,0.7838144302368164,0.05510302260518074,0.0005,0.47273433208465576,0.3665975034236908,0.25697121024131775,0.2645076811313629,0.6983513236045837,0.22015872597694397
8,0.8742367625236511,0.9084380269050598,0.8642650842666626,0.9116849899291992,0.7954749464988708,0.0543719120323658,0.0005,0.4940413236618042,0.3658001720905304,0.2578408420085907,0.2724137604236603,0.7084899544715881,0.21245013177394867
9,0.8808254599571228,0.9156962037086487,0.8714632391929626,0.9163764715194702,0.7998863458633423,0.05153189226984978,0.0005,0.5404690504074097,0.347737193107605,0.24020855128765106,0.26375019550323486,0.7602391839027405,0.19511297345161438
10,0.8824713826179504,0.915809690952301,0.8759984970092773,0.9187936186790466,0.803328275680542,0.0508275032043457,0.0005,0.43060943484306335,0.33310094475746155,0.21505843102931976,0.26534104347229004,0.647838830947876,0.23914453387260437
11,0.894806444644928,0.9271878004074097,0.8904474973678589,0.9229729175567627,0.8213133215904236,0.045405883342027664,5.0000002e-05,0.591585636138916,0.3697754740715027,0.25484174489974976,0.2784806489944458,0.7767292857170105,0.1723603457212448
12,0.8999471664428711,0.9321274161338806,0.8974897265434265,0.9268286824226379,0.8532590270042419,0.04314900562167168,5.0000002e-05,0.6215343475341797,0.3684147894382477,0.2565835416316986,0.276839017868042,0.7908334136009216,0.16061393916606903
13,0.9027180671691895,0.9341917037963867,0.9010033011436462,0.9247845411300659,0.8645839095115662,0.04196374863386154,5.0000002e-05,0.6301429271697998,0.3675588369369507,0.25576701760292053,0.2804535925388336,0.7961136698722839,0.15724867582321167
14,0.9052941203117371,0.9358530640602112,0.9059949517250061,0.9320607781410217,0.8756744265556335,0.040848664939403534,5.0000002e-05,0.6215549111366272,0.36567768454551697,0.25564369559288025,0.2794066369533539,0.789331316947937,0.16085736453533173
15,0.9060273170471191,0.936863362789154,0.9065991640090942,0.9305019974708557,0.8797470927238464,0.04049615561962128,5.0000002e-05,0.7775557041168213,0.3630678951740265,0.2521200478076935,0.27735820412635803,0.8341163396835327,0.09992385655641556
16,0.9082872271537781,0.9394730925559998,0.9080540537834167,0.9359731674194336,0.9087938666343689,0.039580538868904114,5.0000002e-05,0.6882377862930298,0.3686794936656952,0.2577783763408661,0.278199702501297,0.8156327605247498,0.13449235260486603
17,0.9095223546028137,0.9396170973777771,0.9113674163818359,0.9324836134910583,0.8991441130638123,0.03901940584182739,5.0000002e-05,0.6738584041595459,0.3673495650291443,0.25583556294441223,0.27892258763313293,0.8086703419685364,0.14033100008964539
18,0.9107676148414612,0.9414898753166199,0.9141089916229248,0.9358891248703003,0.8931240439414978,0.038462769240140915,5.0000002e-05,0.6614983677864075,0.3668053448200226,0.2562873959541321,0.27702781558036804,0.8026871681213379,0.14518627524375916
19,0.9118420481681824,0.9421815276145935,0.9149789214134216,0.9379626512527466,0.8944551348686218,0.037990882992744446,5.0000002e-05,0.684502363204956,0.3668782413005829,0.2551213800907135,0.2808097004890442,0.808956503868103,0.13609318435192108
20,0.913292407989502,0.9440758228302002,0.9158070087432861,0.9315374493598938,0.8988956212997437,0.037368226796388626,5.0000002e-05,0.6875626444816589,0.3639882206916809,0.252188503742218,0.2784881591796875,0.8125358819961548,0.13530881702899933
21,0.9148301482200623,0.9449295401573181,0.9172632694244385,0.9385794401168823,0.903563916683197,0.03669915720820427,5.0000003e-06,0.6905649304389954,0.3647458553314209,0.2528066039085388,0.27935484051704407,0.813484787940979,0.13408666849136353
22,0.9149664044380188,0.9459277391433716,0.9191060662269592,0.9421290159225464,0.9032385349273682,0.03664043918251991,5.0000003e-06,0.686755359172821,0.3651268184185028,0.25372445583343506,0.2796896696090698,0.8122749328613281,0.13556575775146484
23,0.9150092005729675,0.9436243772506714,0.9187194108963013,0.9418179988861084,0.9060937166213989,0.03661553934216499,5.0000003e-06,0.7038915753364563,0.3642699718475342,0.2528422176837921,0.279310405254364,0.8170027136802673,0.12876726686954498
24,0.9154472351074219,0.9452661871910095,0.9193549156188965,0.9403426647186279,0.906554639339447,0.036432888358831406,5.0000003e-06,0.6981284022331238,0.36495792865753174,0.2535513639450073,0.27978917956352234,0.8157474398612976,0.1310393214225769
25,0.9153264760971069,0.9452469944953918,0.9209173917770386,0.9370220303535461,0.9063347578048706,0.03648119047284126,5.0000003e-06,0.6939724087715149,0.3650675117969513,0.2539099156856537,0.279803603887558,0.8145649433135986,0.1326940506696701
26,0.9152041077613831,0.9451987147331238,0.9189096689224243,0.9388028979301453,0.9061793088912964,0.03652048483490944,5.0000006e-07,0.696699321269989,0.36518600583076477,0.25404778122901917,0.27991336584091187,0.815317690372467,0.13162675499916077
27,0.9152563214302063,0.9449164271354675,0.917906641960144,0.9344744682312012,0.9060447216033936,0.03649480268359184,5.0000006e-07,0.6986912488937378,0.3649523854255676,0.25363680720329285,0.27957794070243835,0.8158039450645447,0.13082514703273773
28,0.9157633781433105,0.9455042481422424,0.9200807213783264,0.9337542653083801,0.9065070152282715,0.03628887981176376,5.0000006e-07,0.6980800628662109,0.36501336097717285,0.2537718713283539,0.27963244915008545,0.8155911564826965,0.13107913732528687
29,0.9158090949058533,0.9457546472549438,0.920102596282959,0.93993079662323,0.9066625237464905,0.036271631717681885,5.0000006e-07,0.6994777917861938,0.3650371730327606,0.253706693649292,0.2796691954135895,0.8161988258361816,0.13054299354553223
