epoch,dice_coef,dice_coef_large_bowel,dice_coef_small_bowel,dice_coef_stomach,iou_coef,loss,lr,val_dice_coef,val_dice_coef_large_bowel,val_dice_coef_small_bowel,val_dice_coef_stomach,val_iou_coef,val_loss
0,0.6209279894828796,0.7176584601402283,0.6118749976158142,0.6848518252372742,0.2756360173225403,0.17302870750427246,0.0005,0.3713107109069824,0.3318655788898468,0.20714661478996277,0.2481960505247116,0.4539104402065277,0.262163907289505
1,0.7894428372383118,0.8394622802734375,0.7527426481246948,0.8496531248092651,0.48690786957740784,0.091462641954422,0.0005,0.373542845249176,0.3179359436035156,0.23745909333229065,0.25478488206863403,0.4442072808742523,0.2603761851787567
2,0.8153052926063538,0.8597294688224792,0.7797640562057495,0.8706688284873962,0.5829400420188904,0.08023138344287872,0.0005,0.43045690655708313,0.34119975566864014,0.23373597860336304,0.26450270414352417,0.6266244649887085,0.23747922480106354
3,0.8338720202445984,0.8740351796150208,0.8068990707397461,0.8862326145172119,0.6542216539382935,0.07213660329580307,0.0005,0.4418231248855591,0.32522377371788025,0.22225536406040192,0.2655382752418518,0.6678681969642639,0.2345237135887146
4,0.839124858379364,0.8767906427383423,0.8178515434265137,0.8874141573905945,0.6802003979682922,0.06980881839990616,0.0005,0.4116537868976593,0.31882572174072266,0.21286414563655853,0.26842162013053894,0.628148078918457,0.24600079655647278
5,0.852220356464386,0.8891324400901794,0.832543134689331,0.8974328637123108,0.7140060663223267,0.06410432606935501,0.0005,0.4466880261898041,0.3349531888961792,0.2382541298866272,0.27564364671707153,0.6482240557670593,0.23100320994853973
6,0.8581928610801697,0.8953755497932434,0.8412511348724365,0.9031564593315125,0.7338022589683533,0.06151246652007103,0.0005,0.44712716341018677,0.3349662721157074,0.23514357209205627,0.27017611265182495,0.6746130585670471,0.23123955726623535
7,0.8627598881721497,0.8981854319572449,0.8487657904624939,0.9026931524276733,0.7580892443656921,0.059487923979759216,0.0005,0.44631367921829224,0.33833247423171997,0.231169655919075,0.2775346338748932,0.6627395749092102,0.23125235736370087
8,0.870448648929596,0.9047040939331055,0.8586663603782654,0.9108841419219971,0.772699236869812,0.05615997686982155,0.0005,0.549663245677948,0.3215125799179077,0.2230120450258255,0.27403929829597473,0.757530152797699,0.1903175711631775
9,0.8737199306488037,0.9075381755828857,0.8638635277748108,0.9094573259353638,0.7827379107475281,0.05472487956285477,0.0005,0.5623797178268433,0.33593255281448364,0.22643883526325226,0.27756986021995544,0.753788948059082,0.18543413281440735
10,0.875690221786499,0.9088122248649597,0.8642212152481079,0.912114679813385,0.7989798784255981,0.05388518050312996,0.0005,0.4434329867362976,0.3318156898021698,0.23573516309261322,0.2782514989376068,0.6603100299835205,0.23245234787464142
11,0.8820258975028992,0.9152325987815857,0.8756369948387146,0.9143689870834351,0.803955614566803,0.05110839754343033,0.0005,0.45797574520111084,0.3219723403453827,0.22023366391658783,0.2648923099040985,0.6964994072914124,0.228215754032135
12,0.8824099898338318,0.9151942729949951,0.8771510124206543,0.9116112589836121,0.8060612678527832,0.05092570185661316,0.0005,0.38918858766555786,0.30550968647003174,0.22428132593631744,0.2514406442642212,0.509035587310791,0.2562170624732971
13,0.8846926093101501,0.9166328310966492,0.875048816204071,0.9178638458251953,0.816781222820282,0.04991401731967926,0.0005,0.5408462285995483,0.32075169682502747,0.219685360789299,0.27498722076416016,0.7536633610725403,0.19442753493785858
14,0.886025071144104,0.9168074131011963,0.8796989917755127,0.9122174978256226,0.80998295545578,0.049340903759002686,0.0005,0.5923052430152893,0.33065223693847656,0.23361808061599731,0.26957759261131287,0.7630439400672913,0.1737215369939804
15,0.8917285799980164,0.9226504564285278,0.8875231146812439,0.9200649261474609,0.8210159540176392,0.0468718558549881,0.0005,0.53670734167099,0.32014063000679016,0.22418799996376038,0.26770153641700745,0.7515782117843628,0.19661305844783783
16,0.8963959217071533,0.9272189140319824,0.8944304585456848,0.9241794347763062,0.8414391875267029,0.04485096409916878,0.0005,0.46792271733283997,0.31156423687934875,0.2225112020969391,0.271484375,0.7008680701255798,0.22450049221515656
17,0.8944486379623413,0.9250086545944214,0.8872240781784058,0.9197098612785339,0.8336949348449707,0.04567386209964752,0.0005,0.5547083616256714,0.32099997997283936,0.2286328226327896,0.27190491557121277,0.7627326250076294,0.18917502462863922
18,0.8934292197227478,0.9226270914077759,0.888619065284729,0.9244171977043152,0.8298688530921936,0.04616449028253555,0.0005,0.5685415863990784,0.32790911197662354,0.2292523980140686,0.26986825466156006,0.7669591307640076,0.18314287066459656
19,0.8999639749526978,0.9307186603546143,0.8965592384338379,0.9221029877662659,0.8454461097717285,0.04328688606619835,0.0005,0.5135165452957153,0.3361596465110779,0.239786297082901,0.26430824398994446,0.7251713871955872,0.20512013137340546
