epoch,dice_coef,iou_coef,loss,lr,val_dice_coef,val_iou_coef,val_loss
0,0.5821953415870667,0.23251569271087646,0.18823733925819397,0.0005,0.3572654724121094,0.39718544483184814,0.26772579550743103
1,0.7903534770011902,0.4893677830696106,0.09166964143514633,0.0005,0.4098913371562958,0.5831483006477356,0.24500338733196259
2,0.8217422962188721,0.5883879065513611,0.07796593755483627,0.0005,0.4209938943386078,0.6360625624656677,0.2415965050458908
3,0.8334609270095825,0.634344220161438,0.07277784496545792,0.0005,0.43026459217071533,0.632811963558197,0.23691968619823456
4,0.8462626934051514,0.6782997846603394,0.0671767145395279,0.0005,0.472846120595932,0.7044283747673035,0.2200738489627838
5,0.8570167422294617,0.7053677439689636,0.062442097812891006,0.0005,0.5274998545646667,0.7462732791900635,0.19856418669223785
6,0.8602713346481323,0.7370976805686951,0.06096000596880913,0.0005,0.46782639622688293,0.6917055249214172,0.22239619493484497
7,0.8624136447906494,0.7589355111122131,0.060031913220882416,0.0005,0.476803183555603,0.6842264533042908,0.21831195056438446
8,0.8720433115959167,0.7728038430213928,0.0557861328125,0.0005,0.5139060616493225,0.7242424488067627,0.20341017842292786
9,0.876270592212677,0.7801376581192017,0.05392909795045853,0.0005,0.3991926312446594,0.49989762902259827,0.2495269924402237
10,0.8797431588172913,0.7873729467391968,0.0524224229156971,0.0005,0.5381382703781128,0.7561296224594116,0.19393685460090637
11,0.878879189491272,0.7801384925842285,0.052779946476221085,0.0005,0.4870435893535614,0.7131160497665405,0.21496839821338654
12,0.8796988725662231,0.8153083324432373,0.052531901746988297,0.0005,0.5279884338378906,0.7333942651748657,0.1981486678123474
13,0.8875302076339722,0.8131009340286255,0.04896796494722366,0.0005,0.4769574701786041,0.6627513766288757,0.21958370506763458
14,0.8859916925430298,0.8059604167938232,0.04964780807495117,0.0005,0.4982260763645172,0.7078519463539124,0.20985636115074158
15,0.8914896845817566,0.8192856907844543,0.04724548012018204,0.0005,0.5567401051521301,0.743354320526123,0.18770240247249603
16,0.8912041187286377,0.8212645649909973,0.04736332595348358,0.0005,0.5884009003639221,0.7729687094688416,0.17464295029640198
17,0.8963400721549988,0.8353210687637329,0.045117076486349106,0.0005,0.5118540525436401,0.7140135765075684,0.2050899863243103
18,0.8958163857460022,0.8313266038894653,0.04533720389008522,0.0005,0.5721094012260437,0.7574694752693176,0.18224330246448517
19,0.8962121605873108,0.8298377394676208,0.04515563324093819,0.0005,0.543681800365448,0.7327198386192322,0.19280533492565155
20,0.8991139531135559,0.8304969668388367,0.04392102733254433,0.0005,0.5971581339836121,0.7725309729576111,0.17167776823043823
21,0.8994807004928589,0.8294881582260132,0.043763890862464905,0.0005,0.5241923928260803,0.7289138436317444,0.2001960575580597
22,0.9047356843948364,0.8421030640602112,0.04142835736274719,0.0005,0.550703763961792,0.7608540654182434,0.1895158737897873
23,0.903891921043396,0.8417629599571228,0.04178730398416519,0.0005,0.519227921962738,0.7419419288635254,0.20257356762886047
24,0.9063658714294434,0.8504756093025208,0.04069811478257179,0.0005,0.5507494211196899,0.753501832485199,0.18968014419078827
25,0.9086296558380127,0.8537829518318176,0.03972636163234711,0.0005,0.5469934344291687,0.7465616464614868,0.19098511338233948
26,0.9144926071166992,0.8623919486999512,0.03713269159197807,5.0000002e-05,0.6423730850219727,0.7923819422721863,0.15301011502742767
27,0.9184764623641968,0.8852038979530334,0.03539210557937622,5.0000002e-05,0.6304706335067749,0.7892207503318787,0.15773360431194305
28,0.9207621216773987,0.8906874060630798,0.034383878111839294,5.0000002e-05,0.6743815541267395,0.8054842352867126,0.140452578663826
29,0.921564519405365,0.9154972434043884,0.03405851125717163,5.0000002e-05,0.7090848684310913,0.8141036629676819,0.12671136856079102
30,0.9228277802467346,0.9094403386116028,0.03348315507173538,5.0000002e-05,0.6942440867424011,0.8097826242446899,0.13264627754688263
31,0.9237781167030334,0.9054191708564758,0.03307546675205231,5.0000002e-05,0.6549727916717529,0.7977724671363831,0.14809450507164001
32,0.924262285232544,0.9111826419830322,0.03286207839846611,5.0000002e-05,0.7666404247283936,0.8253583908081055,0.10402613133192062
33,0.9254208207130432,0.9229903817176819,0.03235669806599617,5.0000002e-05,0.7355202436447144,0.8206408023834229,0.11631506681442261
34,0.9263186454772949,0.9168267250061035,0.03197085112333298,5.0000002e-05,0.7103698253631592,0.8152590990066528,0.12624023854732513
35,0.9265718460083008,0.9151061177253723,0.03184313699603081,5.0000002e-05,0.6937358379364014,0.8106115460395813,0.13295991718769073
36,0.9273822903633118,0.9140897393226624,0.03150244429707527,5.0000002e-05,0.7072704434394836,0.8140403032302856,0.12755969166755676
37,0.9274194836616516,0.9130906462669373,0.031470708549022675,5.0000002e-05,0.7184705138206482,0.81516432762146,0.12329255044460297
38,0.9287300705909729,0.9169881343841553,0.030914202332496643,5.0000003e-06,0.7046083807945251,0.8126935362815857,0.12878361344337463
39,0.9287444353103638,0.917137622833252,0.030898822471499443,5.0000003e-06,0.7069337368011475,0.8130947947502136,0.1278657466173172
40,0.9287177324295044,0.9166107177734375,0.03090454824268818,5.0000003e-06,0.7058386206626892,0.813136875629425,0.12826064229011536
41,0.9289941191673279,0.916761577129364,0.03079386241734028,5.0000003e-06,0.7082927227020264,0.813334584236145,0.1272871494293213
42,0.9294397830963135,0.9170717597007751,0.03060811012983322,5.0000003e-06,0.7063313722610474,0.8130993247032166,0.12807120382785797
43,0.9295119047164917,0.9176051020622253,0.030575597658753395,5.0000006e-07,0.7081730365753174,0.8135712742805481,0.12736302614212036
44,0.9295715689659119,0.9178335666656494,0.030550898984074593,5.0000006e-07,0.7093283534049988,0.8137524127960205,0.12692147493362427
45,0.9291437268257141,0.9178758263587952,0.030724773183465004,5.0000006e-07,0.7093029022216797,0.8138054013252258,0.12690170109272003
46,0.9295392036437988,0.9177150726318359,0.03056088089942932,5.0000006e-07,0.7075636982917786,0.8133635520935059,0.12758024036884308
47,0.9294634461402893,0.9174491763114929,0.03059356100857258,5.0000006e-07,0.7084009051322937,0.81365966796875,0.12727780640125275
48,0.9293104410171509,0.9177640676498413,0.030656807124614716,5.0000004e-08,0.7060570120811462,0.8129390478134155,0.12814576923847198
49,0.9295514225959778,0.9174829721450806,0.030567286536097527,5.0000004e-08,0.7091708183288574,0.8136563897132874,0.12694257497787476
