,loss,dice_coef,iou_coef,val_loss,val_dice_coef,val_iou_coef,lr
6,0.05771789327263832,0.8668626546859741,0.698981523513794,0.21639657020568848,0.4838351011276245,0.7206407189369202,0.0005
7,0.05488790571689606,0.8732864260673523,0.7304449677467346,0.2097758948802948,0.5002647042274475,0.7316199541091919,0.0005
8,0.0526396743953228,0.8784379959106445,0.7532960176467896,0.18623720109462738,0.5622479319572449,0.7524470686912537,0.0005
9,0.04929521679878235,0.8861349821090698,0.7807084321975708,0.23076538741588593,0.4477540850639343,0.6330570578575134,0.0005
10,0.0480659119784832,0.8888974785804749,0.7938589453697205,0.1780971735715866,0.5797075033187866,0.7798665165901184,0.0005
11,0.04903966560959816,0.8866928219795227,0.7879431247711182,0.20862741768360138,0.5038086771965027,0.7332313060760498,0.0005
12,0.04582966864109039,0.8940253853797913,0.8142421245574951,0.18558859825134277,0.5617612600326538,0.761746346950531,0.0005
13,0.04431871697306633,0.897472083568573,0.8250741362571716,0.18854279816150665,0.5554017424583435,0.754744291305542,0.0005
14,0.04487219825387001,0.8962142467498779,0.8140608072280884,0.22335611283779144,0.467329204082489,0.6981750726699829,0.0005
15,0.043453704565763474,0.8994641900062561,0.8292372822761536,0.1849285215139389,0.565078616142273,0.7688300609588623,0.0005
16,0.03886931762099266,0.9098838567733765,0.8614489436149597,0.18200211226940155,0.5702475309371948,0.7736679911613464,5.0000002e-05
17,0.03733401745557785,0.9134517312049866,0.8671175241470337,0.17852327227592468,0.5789416432380676,0.7774271965026855,5.0000002e-05
18,0.036439839750528336,0.9154887199401855,0.8793115615844727,0.17330273985862732,0.5924709439277649,0.7838836312294006,5.0000002e-05
19,0.03567323461174965,0.9172611236572266,0.8898165225982666,0.16951531171798706,0.6016520261764526,0.7882850766181946,5.0000002e-05
20,0.035242535173892975,0.9182544350624084,0.8908098936080933,0.16528098285198212,0.612920343875885,0.791869580745697,5.0000002e-05
21,0.03463475778698921,0.9196662902832031,0.8954063653945923,0.1551734060049057,0.6384178996086121,0.8001192212104797,5.0000002e-05
22,0.03414903208613396,0.9207839369773865,0.9009507894515991,0.150946706533432,0.6491755843162537,0.8027545809745789,5.0000002e-05
23,0.03381698578596115,0.9215267896652222,0.904011070728302,0.15087029337882996,0.6495437026023865,0.8035509586334229,5.0000002e-05
24,0.03336817026138306,0.9225856065750122,0.9072242975234985,0.14867612719535828,0.6553706526756287,0.8070574402809143,5.0000002e-05
25,0.03295108303427696,0.9235387444496155,0.9081839919090271,0.14282701909542084,0.66996830701828,0.8095768094062805,5.0000002e-05
26,0.03257579356431961,0.9244120717048645,0.9110615253448486,0.14981478452682495,0.6525534391403198,0.8082573413848877,5.0000002e-05
27,0.03225921839475632,0.9251452684402466,0.9121419191360474,0.13914509117603302,0.6797712445259094,0.8129903674125671,5.0000002e-05
28,0.031990647315979004,0.9257693886756897,0.9125480055809021,0.15663303434848785,0.6355046033859253,0.8007508516311646,5.0000002e-05
29,0.03165125101804733,0.9265483617782593,0.912913978099823,0.14389801025390625,0.6682867407798767,0.8106442093849182,5.0000002e-05
30,0.031248018145561218,0.9274824261665344,0.9150866866111755,0.14375703036785126,0.6688243746757507,0.8111200928688049,5.0000002e-05
31,0.031166600063443184,0.927699625492096,0.9157781600952148,0.1445770263671875,0.6666369438171387,0.8100979328155518,5.0000002e-05
32,0.030863814055919647,0.9283815026283264,0.9159684181213379,0.14263713359832764,0.6717415452003479,0.8116112947463989,5.0000002e-05
